scope,server,iter,event,test_id,suite_id,process_lifetime_ms,shutdown_latency_ms,signaled_with,killed_by_timeout,pid
process,rf_mcp_substitute,3,acquire,s1-t1,s1,0.000,0.000,,0,3310721
process,rf_mcp_substitute,3,release_test,s1-t1,,7.454,3.390,SIGTERM,0,3310721
process,rf_mcp_substitute,3,acquire,s1-t1,s1,0.000,0.000,,0,3310722
process,rf_mcp_substitute,3,release_test,s1-t1,,10.380,1.316,SIGTERM,0,3310722
process,echo_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3310734
process,echo_server,3,release_test,s1-t1,,6.087,1.213,SIGTERM,0,3310734
process,echo_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3310732
process,echo_server,3,release_test,s1-t1,,4.693,1.199,SIGTERM,0,3310732
process,echo_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3310733
process,echo_server,3,release_test,s1-t1,,5.916,3.568,SIGTERM,0,3310733
process,echo_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3310731
process,echo_server,3,release_test,s1-t1,,9.219,1.193,SIGTERM,0,3310731
process,echo_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3310730
process,echo_server,3,release_test,s1-t1,,4.619,3.588,SIGTERM,0,3310730
process,echo_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3310813
process,echo_server,3,release_test,s1-t1,,8.260,1.232,SIGTERM,0,3310813
process,echo_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3311044
process,echo_server,4,release_test,s1-t1,,5.234,2.526,SIGTERM,0,3311044
test,rf_mcp_substitute,3,acquire,s1-t1,s1,0.000,0.000,,0,3311154
test,rf_mcp_substitute,3,release_test,s1-t1,,13.295,1.271,SIGTERM,0,3311154
test,rf_mcp_substitute,3,acquire,s1-t1,s1,0.000,0.000,,0,3311146
test,rf_mcp_substitute,3,release_test,s1-t1,,6.417,7.818,SIGTERM,0,3311146
test,rf_mcp_substitute,3,acquire,s1-t1,s1,0.000,0.000,,0,3311148
test,rf_mcp_substitute,3,release_test,s1-t1,,6.279,1.193,SIGTERM,0,3311148
test,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3311514
test,rf_mcp_substitute,4,release_test,s1-t1,,6.423,3.573,SIGTERM,0,3311514
